Source.Name,Time Step,Label Index,Name (NA),Name (NA)_match,Voxel count,Volume (nm³),Feret Max (nm),3D Solidity (voxel-wise),#Radial_filaments,Holes_and_tunnels,Shapes,Corrected length,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,1,DSM3-COMBINED-DSM00,DSM3-COMBINED-DSM00_Aa,3228,206592,214.3360368,0.834800271,0,0,Elongated,214.3360368,4.252,7.95,1.87
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,2,DSM3-COMBINED-DSM00,DSM3-COMBINED-DSM00_Ab,931,59584,86.34314437,0.867063492,0,0,Elongated,86.34314437,1.674,3.522,2.104
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,28,DSM3-COMBINED-DSM00,DSM3-COMBINED-DSM00_Ba,69,4416,35.83015325,0.855421687,0,0,Elongated,35.83015325,1.757,2.387,1.359
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,29,DSM3-COMBINED-DSM00,DSM3-COMBINED-DSM00_Bb,2371,151744,159.6642822,0.894250513,0,0,Elongated,159.6642822,2.759,4.854,1.759
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,3,DSM3-COMBINED-DSM01,DSM3-COMBINED-DSM01_A,3361,215104,110.6337472,0.931931932,0,0,Ovoid,110.6337472,1.123,2.651,2.362
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,30,DSM3-COMBINED-DSM01,DSM3-COMBINED-DSM01_B,3233,206912,112.7069952,0.944779116,0,0,Ovoid,112.7069952,1.205,3.067,2.546
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,4,DSM3-COMBINED-DSM02,DSM3-COMBINED-DSM02_A,3635,232640,120.9559713,1.009372071,0,0,Ovoid,120.9559713,1.116,2.798,2.507
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,31,DSM3-COMBINED-DSM02,DSM3-COMBINED-DSM02_B,4351,278464,122.0137745,1.031635802,0,0,Ovoid,122.0137745,1.142,2.472,2.164
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,5,DSM3-COMBINED-DSM03,DSM3-COMBINED-DSM03_A,5268,337152,166.8383469,0.936687394,1,0,Ovoid,166.8383469,1.369,4.025,2.941
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,32,DSM3-COMBINED-DSM03,DSM3-COMBINED-DSM03_B,5338,341632,162.8155961,0.932590856,1,0,Ovoid,162.8155961,1.395,4.339,3.111
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,6,DSM3-COMBINED-DSM04,DSM3-COMBINED-DSM04_A,5625,360000,159.3985901,0.926139642,0,0,Ovoid,159.3985901,1.454,4.431,3.046
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,33,DSM3-COMBINED-DSM04,DSM3-COMBINED-DSM04_B,4451,284864,138.6793279,0.925731433,0,0,Ovoid,138.6793279,1.255,3.676,2.93
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,7,DSM3-COMBINED-DSM05,DSM3-COMBINED-DSM05_A,7486,479104,164.8942292,0.995475113,0,0,Ovoid,164.8942292,1.301,4.03,3.098
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,34,DSM3-COMBINED-DSM05,DSM3-COMBINED-DSM05_B,6139,392896,156.8678466,0.976851852,0,0,Ovoid,156.8678466,1.304,4.005,3.072
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,8,DSM3-COMBINED-DSM06,DSM3-COMBINED-DSM06_A,8929,571456,192.8151219,0.963931827,0,0,Ovoid,192.8151219,1.318,4.736,3.594
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,35,DSM3-COMBINED-DSM06,DSM3-COMBINED-DSM06_B,6863,439232,161.890276,0.952020202,0,0,Ovoid,161.890276,1.189,3.792,3.19
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,9,DSM3-COMBINED-DSM07,DSM3-COMBINED-DSM07_A,11689,748096,314.5800969,0.891149542,2,0,Elongated,314.5800969,2.78,10.415,3.747
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,36,DSM3-COMBINED-DSM07,DSM3-COMBINED-DSM07_B,11387,728768,304.2366473,0.871325568,2,0,Elongated,304.2366473,3.537,9.954,2.815
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,10,DSM3-COMBINED-DSM08,DSM3-COMBINED-DSM08_A,13031,833984,224.122214,0.936048029,0,0,Ovoid,224.122214,1.303,6.518,5.001
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,37,DSM3-COMBINED-DSM08,DSM3-COMBINED-DSM08_B,15058,963712,245.1658079,0.937950566,0,0,Ovoid,245.1658079,1.374,6.378,4.641
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,11,DSM3-COMBINED-DSM09,DSM3-COMBINED-DSM09_A,20001,1280064,362.7686001,0.904134115,1,0,Elongated,362.7686001,2.04,8.695,4.263
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,38,DSM3-COMBINED-DSM09,DSM3-COMBINED-DSM09_B,21103,1350592,321.6413398,0.925714286,1,0,Elongated,321.6413398,1.727,7.563,4.379
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,12,DSM3-COMBINED-DSM10,DSM3-COMBINED-DSM10_A,20794,1330816,401.3621952,0.850933408,2,3,Elongated,401.3621952,2.245,11.441,5.097
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,39,DSM3-COMBINED-DSM10,DSM3-COMBINED-DSM10_B,21346,1366144,395.2661582,0.847470238,2,3,Elongated,395.2661582,2.659,11.162,4.198
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,13,DSM3-COMBINED-DSM11,DSM3-COMBINED-DSM11_A,23185,1483840,314.2062059,1.217261312,1,0,Ovoid,314.2062059,1.332,6.431,4.828
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,40,DSM3-COMBINED-DSM11,DSM3-COMBINED-DSM11_B,20423,1307072,284.2047113,1.070239453,1,0,Ovoid,284.2047113,1.255,6.777,5.398
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,14,DSM3-COMBINED-DSM12,DSM3-COMBINED-DSM12_A,20035,1282240,382.8614264,0.907744875,2,0,Elongated,382.8614264,2.205,10.995,4.987
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,41,DSM3-COMBINED-DSM12,DSM3-COMBINED-DSM12_B,23795,1522880,388.3326227,0.900029621,2,0,Elongated,388.3326227,2.102,10.376,4.936
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,15,DSM3-COMBINED-DSM13,DSM3-COMBINED-DSM13_A,27100,1734400,490.4909885,0.870128172,2,0,Elongated,490.4909885,3.467,11.928,3.441
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,42,DSM3-COMBINED-DSM13,DSM3-COMBINED-DSM13_B,24029,1537856,522.6640294,0.825498575,2,0,Elongated,522.6640294,3.371,13.125,3.894
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,16,DSM3-COMBINED-DSM14,DSM3-COMBINED-DSM14_A,20728,1326592,603.2203505,0.789027299,2,0,Elongated,603.2203505,5.859,18.621,3.178
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,43,DSM3-COMBINED-DSM14,DSM3-COMBINED-DSM14_B,24163,1546432,608.5317266,0.7773549,2,0,Elongated,608.5317266,5.463,18.302,3.35
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,17,DSM3-COMBINED-DSM15,DSM3-COMBINED-DSM15_A,25040,1602560,400.7134424,0.770371149,2,0,Irregular,591.96,1.909,9.711,5.086
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,44,DSM3-COMBINED-DSM15,DSM3-COMBINED-DSM15_Ba,1637,104768,101.0043365,0.916430595,2,0,Irregular,101,1.478,2.87,1.941
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,45,DSM3-COMBINED-DSM15,DSM3-COMBINED-DSM15_Bb,21729,1390656,340.9134128,0.867444498,2,0,Irregular,362.59,2.236,6.733,3.011
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,18,DSM3-COMBINED-DSM16,DSM3-COMBINED-DSM16_A,25643,1641152,510.4988585,0.86287933,2,0,Elongated,510.4988585,2.082,15.017,7.213
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,46,DSM3-COMBINED-DSM16,DSM3-COMBINED-DSM16_B,26673,1707072,512.8934502,0.861232774,2,0,Elongated,512.8934502,2.476,14.081,5.688
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,19,DSM3-COMBINED-DSM17,DSM3-COMBINED-DSM17_A,29066,1860224,456.4864096,0.862031439,2,0,Elongated,456.4864096,2.568,9.877,3.846
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,47,DSM3-COMBINED-DSM17,DSM3-COMBINED-DSM17_B,27429,1755456,438.4172565,0.845035314,2,0,Elongated,438.4172565,2.628,9.898,3.766
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,20,DSM3-COMBINED-DSM18,DSM3-COMBINED-DSM18_A,25081,1605184,365.5263944,0.90562509,2,0,Elongated,365.5263944,1.907,10.66,5.59
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,48,DSM3-COMBINED-DSM18,DSM3-COMBINED-DSM18_B,28890,1848960,386.2638607,0.927037549,2,0,Elongated,386.2638607,1.712,11.07,6.466
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,21,DSM3-COMBINED-DSM19,DSM3-COMBINED-DSM19_A,30488,1951232,545.144356,0.80894597,2,1,L,676.27,2.676,13.079,4.888
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,49,DSM3-COMBINED-DSM19,DSM3-COMBINED-DSM19_B,23992,1535488,525.9977958,0.791935951,2,1,L,670.29,3.417,12.292,3.597
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,22,DSM3-COMBINED-DSM20,DSM3-COMBINED-DSM20_A,41300,2643200,605.5882367,0.821043911,2,1,Elongated,605.5882367,3.334,16.062,4.818
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,50,DSM3-COMBINED-DSM20,DSM3-COMBINED-DSM20_B,41261,2640704,609.053694,0.813433986,2,1,Elongated,609.053694,3.518,16.04,4.56
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,23,DSM3-COMBINED-DSM21,DSM3-COMBINED-DSM21_A,43032,2754048,832.9008763,0.815055468,2,0,Elongated,832.9008763,6.649,13.51,2.032
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,51,DSM3-COMBINED-DSM21,DSM3-COMBINED-DSM21_B,48622,3111808,859.2841418,0.826733789,2,0,Elongated,859.2841418,6.484,14.343,2.212
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,24,DSM3-COMBINED-DSM22,DSM3-COMBINED-DSM22_A,57089,3653696,813.3377859,0.852365026,2,0,Elongated,813.3377859,3.762,10.23,2.719
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,52,DSM3-COMBINED-DSM22,DSM3-COMBINED-DSM22_B,49765,3184960,780.7840393,0.838972603,2,0,Elongated,780.7840393,3.931,11.446,2.911
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,25,DSM3-COMBINED-DSM23,DSM3-COMBINED-DSM23_A,91039,5826496,1548.585186,0.631028819,2,1,Elongated,1548.585186,4.866,10.461,2.15
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,53,DSM3-COMBINED-DSM23,DSM3-COMBINED-DSM23_B,93434,5979776,1585.634814,0.646957464,2,1,Elongated,1585.634814,5.263,10.24,1.946
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,26,DSM3-COMBINED-DSM24,DSM3-COMBINED-DSM24_A,111618,7143552,989.1781588,0.76258576,2,0,S,1523.54,2.191,15.114,6.899
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,54,DSM3-COMBINED-DSM24,DSM3-COMBINED-DSM24_B,111371,7127744,961.6652116,0.779337161,2,0,S,1458.85,2.113,13.986,6.619
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,27,DSM3-COMBINED-DSM25,DSM3-COMBINED-DSM25_A,155926,9979264,907.6361052,0.848651209,2,3,Irregular,1511.43,1.344,11.767,8.753
260501-DSM3-COMBINED_ODP_measurements-ind_AB.csv,0,55,DSM3-COMBINED-DSM25,DSM3-COMBINED-DSM25_B,169943,10876352,915.191211,0.838931955,2,3,Irregular,1675.85,1.33,11.247,8.454
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,2,DSM2-SEZ-DSM1,DSM2-SEZ-DSM1_A,211,108032,96.54822392,0.84079602,0,0,Ovoid,96.54822392,1.31,2.965,2.263
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,1,DSM2-SEZ-DSM1,DSM2-SEZ-DSM1_B,328,167936,101.8219567,0.91025641,0,0,Ovoid,101.8219567,1.193,2.293,1.923
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,38,DSM2-NKB-DSM1,DSM2-NKB-DSM1_A,628,321536,156.2753646,0.889460154,0,0,Ovoid,156.2753646,1.747,3.3,1.889
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,1,DSM2-NKB-DSM1,DSM2-NKB-DSM1_B,330,168960,117.8780426,0.872427984,0,0,Ovoid,117.8780426,1.83,2.808,1.535
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,20,DSM2-SEZ-DSM10,DSM2-SEZ-DSM10_A,1719,880128,240.5109738,0.890716804,0,0,Ovoid,240.5109738,1.598,4.834,3.024
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,19,DSM2-SEZ-DSM10,DSM2-SEZ-DSM10_B,1573,805376,222.8447792,0.922789539,0,0,Ovoid,222.8447792,1.456,4.726,3.246
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,47,DSM2-NKB-DSM10,DSM2-NKB-DSM10_A,657,336384,178.8744446,0.911308204,0,0,Elongated,178.8744446,1.842,4.168,2.263
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,9,DSM2-NKB-DSM10,DSM2-NKB-DSM10_B,685,350720,205.8300456,0.878842676,0,0,Elongated,205.8300456,1.775,5.25,2.958
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,22,DSM2-SEZ-DSM11,DSM2-SEZ-DSM11_A,1515,775680,235.2644556,0.877777778,2,0,Ovoid,235.2644556,1.716,5.633,3.282
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,21,DSM2-SEZ-DSM11,DSM2-SEZ-DSM11_B,1660,849920,251.102521,0.870803662,2,0,Ovoid,251.102521,1.543,5.035,3.263
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,48,DSM2-NKB-DSM11,DSM2-NKB-DSM11_A,1900,972800,279.0838765,0.868744873,0,0,Elongated,279.0838765,2.211,6.08,2.749
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,10,DSM2-NKB-DSM11,DSM2-NKB-DSM11_B,2770,1418240,254.2412358,0.928794992,0,0,Elongated,254.2412358,1.774,4.157,2.344
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,24,DSM2-SEZ-DSM12,DSM2-SEZ-DSM12_A,1851,947712,275.0307268,0.916122004,0,0,Ovoid,275.0307268,1.833,6.344,3.46
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,23,DSM2-SEZ-DSM12,DSM2-SEZ-DSM12_B,1678,859136,283.4905045,0.889967638,0,0,Ovoid,283.4905045,2.243,6.599,2.942
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,49,DSM2-NKB-DSM12,DSM2-NKB-DSM12_A,1875,960000,248.1058572,1.01144641,0,0,Ovoid,248.1058572,1.253,4.82,3.848
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,11,DSM2-NKB-DSM12,DSM2-NKB-DSM12_B,1420,727040,250.4712259,0.97826087,0,0,Ovoid,250.4712259,1.401,5.144,3.671
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,26,DSM2-SEZ-DSM13,DSM2-SEZ-DSM13_A,2019,1033728,289.0865363,0.964147287,1,0,Elongated,289.0865363,1.754,7.138,4.07
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,25,DSM2-SEZ-DSM13,DSM2-SEZ-DSM13_B,1739,890368,263.9990271,0.921166307,1,0,Elongated,263.9990271,1.843,5.402,2.931
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,50,DSM2-NKB-DSM13,DSM2-NKB-DSM13_A,257,131584,89.44229723,0.876777251,0,0,Ovoid,89.44229723,1.272,2.303,1.811
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,12,DSM2-NKB-DSM13,DSM2-NKB-DSM13_B,587,300544,142.4208563,0.894865526,0,0,Ovoid,142.4208563,1.334,3.139,2.353
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,28,DSM2-SEZ-DSM14,DSM2-SEZ-DSM14_A,1747,894464,240.6635454,0.915417559,1,0,Ovoid,240.6635454,1.243,4.989,4.014
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,27,DSM2-SEZ-DSM14,DSM2-SEZ-DSM14_B,847,433664,154.1210734,0.917864476,1,0,Ovoid,154.1210734,1.191,3.255,2.733
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,51,DSM2-NKB-DSM14,DSM2-NKB-DSM14_A,663,339456,150.9429311,0.914746544,0,0,Ovoid,150.9429311,1.381,3.282,2.376
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,13,DSM2-NKB-DSM14,DSM2-NKB-DSM14_B,645,330240,143.0937698,0.913551402,0,0,Ovoid,143.0937698,1.389,3.268,2.353
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,30,DSM2-SEZ-DSM15,DSM2-SEZ-DSM15_A,1919,982528,262.3393168,0.875874126,0,0,Ovoid,262.3393168,1.837,6.887,3.75
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,29,DSM2-SEZ-DSM15,DSM2-SEZ-DSM15_B,2028,1038336,266.3846212,0.882859604,0,0,Ovoid,266.3846212,1.951,6.656,3.411
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,52,DSM2-NKB-DSM15,DSM2-NKB-DSM15_A,1930,988160,226.9715072,0.943357364,0,0,Ovoid,226.9715072,1.176,4.72,4.013
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,14,DSM2-NKB-DSM15,DSM2-NKB-DSM15_B,1278,654336,209.8021823,0.942891859,0,0,Ovoid,209.8021823,1.09,4.97,4.562
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,32,DSM2-SEZ-DSM16,DSM2-SEZ-DSM16_A,2126,1088512,220.6627449,0.968152866,0,0,Ovoid,220.6627449,1.144,3.292,2.878
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,31,DSM2-SEZ-DSM16,DSM2-SEZ-DSM16_B,1269,649728,189.4818609,0.884823848,0,0,Ovoid,189.4818609,1.121,4.219,3.763
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,53,DSM2-NKB-DSM16,DSM2-NKB-DSM16_A,2457,1257984,368.7783039,0.961802903,2,0,Irregular,404.61,2.337,7.713,3.301
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,15,DSM2-NKB-DSM16,DSM2-NKB-DSM16_B,1537,786944,243.8501436,0.935665914,2,0,Irregular,217.36,1.408,5.278,3.75
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,34,DSM2-SEZ-DSM17,DSM2-SEZ-DSM17_A,2875,1472000,283.7469782,0.915881073,0,0,Ovoid,283.7469782,1.377,5.543,4.026
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,33,DSM2-SEZ-DSM17,DSM2-SEZ-DSM17_B,2345,1200640,270.7010602,0.907679739,0,0,Ovoid,270.7010602,1.318,5.911,4.486
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,54,DSM2-NKB-DSM17,DSM2-NKB-DSM17_A,4234,2167808,608.0517972,0.830879577,2,1,Elongated,608.0517972,5.016,9.718,1.937
260501-DSM2-NKB_DSM_measurements-ind_AB.csv,0,16,DSM2-NKB-DSM17,DSM2-NKB-DSM17_B,4092,2095104,590.5394749,0.843844985,2,1,Elongated,590.5394749,4.593,8.409,1.831
260501-DSM2-SEZ_DSM_measurements-ind_AB.csv,0,36,DSM2-SEZ-DSM18,DSM2-SEZ-DSM18_A,2623,1342976,269.0827856,0.924775143,0,0,Ovoid,269.0827856,1.125,5.718,5.081
