Time Step,Label Index,Name (NA),Voxel count,Volume (nmÂ³),Center Of Mass Index Z,Feret Max (nm),Sphericity,Cross-Indexing,Center Of Mass Z (nm),,,Label Index,Name (NA),Center Of Mass Z (nm),
0,1,251214-Air ROI 187,26,26000,389,57.44546668,0.953140114,9,3888.461538,,,1,251214-Air ROI 208,5384.363636,
0,2,251214-Air ROI 187,31,31000,388,73.48373156,0.809134065,9,3881.612903,,,2,251214-Air ROI 207,3989.35,
0,3,251214-Air ROI 76,38,38000,442,69.99677611,0.882730665,33,4416.315789,,,3,251214-Air ROI 194,2859.338235,
0,4,251214-Air ROI 184,44,44000,499,67.04842223,0.900570847,12,4994.318182,,,4,251214-Air ROI 192,3938.895028,
0,5,251214-Air ROI 89,46,46000,485,67.08136887,0.949608141,22,4852.391304,,,5,251214-Air ROI 191,3044.600939,
0,6,251214-Air ROI 74,46,46000,413,85.43948411,0.846472613,35,4128.695652,,,6,251214-Air ROI 190,3329.727273,
0,7,251214-Air ROI 188,50,50000,384,78.09488223,0.806169506,8,3841.2,,,7,251214-Air ROI 189,3391.652174,
0,8,251214-Air ROI 194,53,53000,285,78.08006216,0.87129959,3,2849.245283,,,8,251214-Air ROI 188,3843.050847,
0,9,251214-Air ROI 190,54,54000,334,74.82406002,0.926768951,6,3338.703704,,,9,251214-Air ROI 187,3884.736842,
0,10,251214-Air ROI 184,54,54000,498,94.84217731,0.757678794,12,4981.666667,,,10,251214-Air ROI 186,4345.474453,
0,11,251214-Air ROI 74,56,56000,413,86.01852261,0.748986925,35,4133.392857,,,11,251214-Air ROI 185,4767.987421,
0,12,251214-Air ROI 190,56,56000,332,94.84200625,0.795366769,6,3321.071429,,,12,251214-Air ROI 184,4987.346939,
0,13,251214-Air ROI 208,60,60000,540,72.78315694,0.922967739,1,5395.666667,,,13,251214-Air ROI 183,5517.65873,
0,14,251214-Air ROI 71,62,62000,327,74.8241195,0.908116846,38,3268.387097,,,14,251214-Air ROI 182,7144.423592,
0,15,251214-Air ROI 106,62,62000,391,103.4406193,0.783411486,18,3912.580645,,,15,251214-Air ROI 171,5171.163793,
0,16,251214-Air ROI 89,63,63000,485,67.08154143,0.920017112,22,4853.492063,,,16,251214-Air ROI 165,4900.108108,
0,17,251214-Air ROI 104,64,64000,443,83.64514464,0.863596033,19,4428.59375,,,17,251214-Air ROI 142,6079.665493,
0,18,251214-Air ROI 106,65,65000,392,83.63489197,0.887355004,18,3921.538462,,,18,251214-Air ROI 106,3917.165354,
0,19,251214-Air ROI 186,68,68000,435,81.23929514,0.88467991,10,4349.558824,,,19,251214-Air ROI 104,4430.784314,
0,20,251214-Air ROI 188,68,68000,384,94.33941708,0.83743298,8,3844.411765,,,20,251214-Air ROI 91,5325.533063,
0,21,251214-Air ROI 186,69,69000,434,80.594606,0.890964539,10,4341.449275,,,21,251214-Air ROI 90,6272.570806,
0,22,251214-Air ROI 68,70,70000,310,76.80416057,0.898705798,41,3100.857143,,,22,251214-Air ROI 89,4853.027523,
0,23,251214-Air ROI 68,71,71000,312,78.73679472,0.864680897,41,3124.788732,,,23,251214-Air ROI 88,6633.161634,
0,24,251214-Air ROI 192,72,72000,394,78.72886658,0.85530846,4,3936.527778,,,24,251214-Air ROI 85,7186.926927,
0,25,251214-Air ROI 76,72,72000,442,77.92126435,0.898423226,33,4419.444444,,,25,251214-Air ROI 84,7093.836806,
0,26,251214-Air ROI 71,73,73000,326,83.64471578,0.897236056,38,3261.643836,,,26,251214-Air ROI 83,6910.831354,
0,27,251214-Air ROI 70,76,76000,511,87.7465124,0.872259895,39,5111.052632,,,27,251214-Air ROI 82,6670.732394,
0,28,251214-Air ROI 185,78,78000,477,91.6398306,0.811968398,11,4768.846154,,,28,251214-Air ROI 81,6476.578947,
0,29,251214-Air ROI 185,81,81000,477,80.5091768,0.837773138,11,4767.160494,,,29,251214-Air ROI 80,5262.857143,
0,30,251214-Air ROI 194,83,83000,287,87.73645712,0.874174033,3,2865.783133,,,30,251214-Air ROI 79,5082.982792,
0,31,251214-Air ROI 165,84,84000,490,80.50985547,0.899563826,16,4896.904762,,,31,251214-Air ROI 78,4941.414141,
0,32,251214-Air ROI 104,89,89000,443,89.99590921,0.927833982,19,4432.359551,,,32,251214-Air ROI 77,4642.413793,
0,33,251214-Air ROI 69,92,92000,312,86.59805253,0.890114775,40,3120.326087,,,33,251214-Air ROI 76,4418.363636,
0,34,251214-Air ROI 70,99,99000,509,89.44161017,0.869222113,39,5091.414141,,,34,251214-Air ROI 75,4321.409314,
0,35,251214-Air ROI 207,100,100000,399,94.23604232,0.84961218,2,3993.2,,,35,251214-Air ROI 74,4131.27451,
0,36,251214-Air ROI 207,100,100000,399,85.43948411,0.861513045,2,3985.5,,,36,251214-Air ROI 73,3660.723404,
0,37,251214-Air ROI 165,101,101000,490,87.15653256,0.919036596,16,4902.772277,,,37,251214-Air ROI 72,3219.705426,
0,38,251214-Air ROI 191,101,101000,304,103.3521086,0.88732128,5,3037.029703,,,38,251214-Air ROI 71,3264.740741,
0,39,251214-Air ROI 171,104,104000,516,88.31143479,0.926117823,15,5157.980769,,,39,251214-Air ROI 70,5099.942857,
0,40,251214-Air ROI 208,105,105000,538,82.93646926,0.926501079,1,5377.904762,,,40,251214-Air ROI 69,3137.692308,
0,41,251214-Air ROI 192,109,109000,394,94.84183519,0.877136336,4,3940.458716,,,41,251214-Air ROI 68,3112.907801,
0,42,251214-Air ROI 191,112,112000,305,81.20934388,0.940454727,5,3051.428571,,,42,251214-Air ROI 67,3079.933422,
0,43,251214-Air ROI 183,113,113000,552,80.61940428,0.886667994,13,5518.318584,,,43,251214-Air ROI 66,2977.82996,
0,44,251214-Air ROI 189,114,114000,339,98.48841089,0.79569405,7,3391.491228,,,44,251214-Air ROI 65,2801.025145,
0,45,251214-Air ROI 69,116,116000,315,103.9228994,0.835628483,40,3151.465517,,,45,251214-Air ROI 64,2882.640509,
0,46,251214-Air ROI 189,116,116000,339,96.95065998,0.851646743,7,3391.810345,,,46,251214-Air ROI 63,2852.646566,
0,47,251214-Air ROI 79,119,119000,511,102.941328,0.814682419,30,5107.394958,,,47,251214-Air ROI 62,2875.266821,
0,48,251214-Air ROI 171,128,128000,518,101.9607792,0.866333261,15,5181.875,,,48,251214-Air ROI 61,2795.16977,
0,49,251214-Air ROI 83,131,131000,693,95.38946878,0.848753245,26,6926.335878,,,49,251214-Air ROI 60,2771.741123,
0,50,251214-Air ROI 183,139,139000,552,87.74654122,0.89917281,13,5517.122302,,,50,251214-Air ROI 59,2724.870714,
0,51,251214-Air ROI 182,148,148000,717,98.96868084,0.898153086,14,7168.716216,,,51,251214-Air ROI 58,2546.973555,
0,52,251214-Air ROI 67,156,156000,305,114.4540809,0.847371198,42,3049.935897,,,52,251214-Air ROI 57,2667.640959,
0,53,251214-Air ROI 65,167,167000,278,96.41261261,0.896075488,44,2779.700599,,,53,251214-Air ROI 56,2551.477162,
0,54,251214-Air ROI 62,179,179000,289,134.8990458,0.800344979,47,2890.614525,,,54,251214-Air ROI 23,2511.402439,
0,55,251214-Air ROI 77,181,181000,465,109.974273,0.83190529,32,4653.867403,,,,,,
0,56,251214-Air ROI 88,218,218000,665,111.8032334,0.821779912,23,6645.137615,,,,,,
0,57,251214-Air ROI 63,219,219000,287,145.5664988,0.864950326,46,2870.045662,,,,,,
0,58,251214-Air ROI 182,225,225000,713,114.453921,0.847155823,14,7128.444444,,,,,,
0,59,251214-Air ROI 90,228,228000,627,108.1585853,0.858519434,21,6270.175439,,,,,,
0,60,251214-Air ROI 142,228,228000,609,112.2469211,0.854560201,17,6087.982456,,,,,,
0,61,251214-Air ROI 73,230,230000,365,137.3753389,0.796330875,36,3652.347826,,,,,,
0,62,251214-Air ROI 90,231,231000,627,103.9227248,0.954547023,21,6274.935065,,,,,,
0,63,251214-Air ROI 73,240,240000,367,111.8001875,0.885302116,36,3668.75,,,,,,
0,64,251214-Air ROI 84,249,249000,711,147.9669618,0.809324865,25,7105.783133,,,,,,
0,65,251214-Air ROI 62,252,252000,286,128.0553613,0.817236179,47,2864.365079,,,,,,
0,66,251214-Air ROI 80,258,258000,526,104.8803482,0.961906762,29,5258.527132,,,,,,
0,67,251214-Air ROI 83,290,290000,690,115.7357687,0.906543755,26,6903.827586,,,,,,
0,68,251214-Air ROI 78,294,294000,494,112.2465166,0.960226417,31,4937.176871,,,,,,
0,69,251214-Air ROI 72,299,299000,323,122.4096675,0.879916763,37,3233.177258,,,,,,
0,70,251214-Air ROI 78,300,300000,495,131.5258171,0.859425668,31,4945.566667,,,,,,
0,71,251214-Air ROI 77,312,312000,464,119.1506439,0.921766555,32,4635.769231,,,,,,
0,72,251214-Air ROI 64,325,325000,290,148.6537052,0.762174777,45,2901.446154,,,,,,
0,73,251214-Air ROI 84,327,327000,708,106.3012911,0.973345031,25,7084.740061,,,,,,
0,74,251214-Air ROI 142,340,340000,607,104.8804342,0.980313295,17,6074.088235,,,,,,
0,75,251214-Air ROI 82,342,342000,666,104.3632778,0.948546406,27,6661.023392,,,,,,
0,76,251214-Air ROI 60,343,343000,277,153.9267645,0.776631895,49,2771.107872,,,,,,
0,77,251214-Air ROI 88,345,345000,663,109.5438722,0.958753583,23,6625.594203,,,,,,
0,78,251214-Air ROI 72,346,346000,321,131.5120981,0.914759888,37,3208.063584,,,,,,
0,79,251214-Air ROI 91,347,347000,532,113.5626501,0.931472214,20,5321.037464,,,,,,
0,80,251214-Air ROI 65,350,350000,281,117.8979757,0.95913459,44,2811.2,,,,,,
0,81,251214-Air ROI 82,368,368000,668,123.6928363,0.933193751,27,6679.755435,,,,,,
0,82,251214-Air ROI 75,373,373000,432,120.8252724,0.937228804,34,4320.589812,,,,,,
0,83,251214-Air ROI 61,375,375000,281,114.2993059,0.967137436,48,2805.146667,,,,,,
0,84,251214-Air ROI 63,378,378000,284,124.4791053,0.955239332,46,2842.566138,,,,,,
0,85,251214-Air ROI 81,387,387000,649,140.7010708,0.864019133,28,6490.723514,,,,,,
0,86,251214-Air ROI 91,394,394000,533,114.2989738,0.951709426,20,5329.492386,,,,,,
0,87,251214-Air ROI 79,404,404000,508,127.2741882,0.950762867,30,5075.792079,,,,,,
0,88,251214-Air ROI 80,414,414000,527,118.3041994,0.974040978,29,5265.555556,,,,,,
0,89,251214-Air ROI 75,443,443000,432,133.4166537,0.885076524,34,4322.099323,,,,,,
0,90,251214-Air ROI 85,452,452000,719,139.2833554,0.829865335,24,7186.106195,,,,,,
0,91,251214-Air ROI 58,477,477000,253,139.2782611,0.864428544,51,2530.083857,,,,,,
0,92,251214-Air ROI 81,525,525000,647,134.906517,0.925180293,28,6466.152381,,,,,,
0,93,251214-Air ROI 60,530,530000,277,160.9184419,0.79255321,49,2772.150943,,,,,,
0,94,251214-Air ROI 61,538,538000,279,133.7836923,0.935140117,48,2788.215613,,,,,,
0,95,251214-Air ROI 58,544,544000,256,129.9998771,0.921051582,51,2561.783088,,,,,,
0,96,251214-Air ROI 85,547,547000,719,144.5425258,0.913051916,24,7187.605119,,,,,,
0,97,251214-Air ROI 66,568,568000,299,147.9762337,0.862085095,43,2985.862676,,,,,,
0,98,251214-Air ROI 67,595,595000,309,172.6262008,0.71172525,42,3087.798319,,,,,,
0,99,251214-Air ROI 64,618,618000,287,203.9604743,0.757469554,45,2872.750809,,,,,,
0,100,251214-Air ROI 57,649,649000,269,212.7996209,0.823938519,52,2686.810478,,,,,,
0,101,251214-Air ROI 66,667,667000,297,155.391419,0.897365435,43,2970.989505,,,,,,
0,102,251214-Air ROI 57,894,894000,265,231.6934249,0.828454006,52,2653.724832,,,,,,
0,103,251214-Air ROI 23,1174,1174000,254,182.7417818,0.846947206,54,2538.049404,,,,,,
0,104,251214-Air ROI 23,1286,1286000,249,202.2346418,0.802850107,54,2487.076205,,,,,,
0,105,251214-Air ROI 59,1761,1761000,274,207.1157312,0.866375627,50,2735.303805,,,,,,
0,106,251214-Air ROI 59,1797,1797000,271,228.1967002,0.79025554,50,2714.646633,,,,,,
0,107,251214-Air ROI 56,2429,2429000,257,341.3165683,0.705978195,53,2567.303417,,,,,,
0,108,251214-Air ROI 56,2716,2716000,254,337.3388986,0.725553253,53,2537.32327,,,,,,
